id_hotel,nombre,suburbio,barrio,ciudad,ciudad_geopy,estado,region,pais,codigo_postal,latitud,longitud,direccion_formateada,url_1,url_2,url_3,url_4,url_5,url_6,url_7,url_8,url_9,url_10,dominio_1,dominio_2,dominio_3,dominio_4,dominio_5,dominio_6,dominio_7,dominio_8,dominio_9,dominio_10,geosource,fuente_geodata
282383817,Grande Hotel Minas Gerais,Centro,,Guaçuí,Guaçuí,Espírito Santo,Southeast Region,Brasil,29560-000,-20.7729961,-41.6768349,"Grande Hotel Minas Gerais, 35, Praça Vinte e Cinco de Dezembro, Centro, Guaçuí, Região Geográfica Imediata de Alegre, Região Geográfica Intermediária de Cachoeiro de Itapemirim, Espírito Santo, Southeast Region, 29560-000, Brazil",https://www.booking.com/hotel/br/grande-minas-gerais-guacui.pt-br.html,,,,,,,,,,www.booking.com,,,,,,,,,,geopy,
297295195,Hotel e Restaurante Moura,,,,Viseu,Pará,North Region,Brasil,68620-000,-1.1560058,-46.3537058,"Hotel e Restaurante Moura, Rua do Cruzeiro, Fernandes Belo, Viseu, Região Geográfica Imediata de Bragança, Região Geográfica Intermediária de Castanhal, Pará, North Region, 68620-000, Brazil",https://www.hotelmoura.com.br/restaurante,,,,,,,,,,www.hotelmoura.com.br,,,,,,,,,,geopy,
311245596,Pousada e Restaurante Vista Linda,,,Domingos Martins,Domingos Martins,Espírito Santo,Southeast Region,Brasil,29260-000,-20.3818899,-40.6052022,"Pousada e Restaurante Vista Linda, km 36, Rodovia Federal Deputado Aloízio Santos, Sítio Meu Chapa, Santa Isabel, Domingos Martins, Região Geográfica Imediata de Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá, Região Geográfica Intermediária de Vitória, Espírito Santo, Southeast Region, 29260-000, Brazil",,,,,,,,,,,,,,,,,,,,,geopy,
315623285,,Guandú,,,Cachoeiro de Itapemirim,Espírito Santo,Southeast Region,Brasil,29300-795,-20.8413218,-41.1230427,"Avenida Beira Rio, Guandú, Cachoeiro de Itapemirim, Região Geográfica Imediata de Cachoeiro de Itapemirim, Região Geográfica Intermediária de Cachoeiro de Itapemirim, Espírito Santo, Southeast Region, 29300-795, Brazil",,,,,,,,,,,,,,,,,,,,,geopy,
320548710,Lord Hotel,Centro,Praia Grande,,São Luís,Maranhão,Northeast Region,Brasil,65065-545,-2.5288192,-44.3045866,"Lord Hotel, Rua de Nazaré, Praia Grande, Centro, São Luís, Região Geográfica Imediata de São Luís, Região Geográfica Intermediária de São Luís, Maranhão, Northeast Region, 65065-545, Brazil",https://lordhotelcascavel.com.br/,,,,,,,,,,lordhotelcascavel.com.br,,,,,,,,,,geopy,
321706825,Pousada Lapa Grande,Terra de Arroz,,,Jaboticatubas,Minas Gerais,Southeast Region,Brasil,,-19.3487864,-43.6411433,"Rua Rubens Belisário, Terra de Arroz, Almeida, Jaboticatubas, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Southeast Region, Brazil",https://www.booking.com/hotel/br/pousada-lapa-grande.html,,,,,,,,,,www.booking.com,,,,,,,,,,geopy,
322322649,Pousada Varandas da Serra,,Vacaria,,Santana do Riacho,Minas Gerais,Southeast Region,Brasil,,-19.3207149,-43.6099317,"Pousada Varandas da Serra, Rodovia Bom Caminho do Castrinho, Vacaria, Serra do Cipó, Santana do Riacho, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Southeast Region, Brazil",https://www.booking.com/hotel/br/varandas-da-serra.pt-br.html,,,,,,,,,,www.booking.com,,,,,,,,,,geopy,
322323100,Pousada Entre Folhas,,Vacaria,,Santana do Riacho,Minas Gerais,Southeast Region,Brasil,,-19.3215874,-43.6117285,"Pousada Entre Folhas, Rua Gabiroba, Vacaria, Serra do Cipó, Santana do Riacho, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Southeast Region, Brazil",https://www.booking.com/hotel/br/pousada-entre-folhas-serra-do-cipo.pt-br.html,,,,,,,,,,www.booking.com,,,,,,,,,,geopy,
322323159,Pouso Cipó,,Vacaria,,Santana do Riacho,Minas Gerais,Southeast Region,Brasil,,-19.3236384,-43.6135738,"Pouso Cipó, Rua Mangueiras, Vacaria, Serra do Cipó, Santana do Riacho, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Southeast Region, Brazil",,,,,,,,,,,,,,,,,,,,,geopy,
322323185,Pousada Villa Verde Chalés,,Alto do Cruzeiro,,Santana do Riacho,Minas Gerais,Southeast Region,Brasil,,-19.3284606,-43.6158838,"Pousada Villa Verde Chalés, Rua das Amendoeiras, Alto do Cruzeiro, Serra do Cipó, Santana do Riacho, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Southeast Region, Brazil",,,,,,,,,,,,,,,,,,,,,geopy,
322323326,Pousada Ecobamboo,,Alto do Cruzeiro,,Santana do Riacho,Minas Gerais,Southeast Region,Brasil,,-19.3307563,-43.6193149,"Pousada Ecobamboo, Rodovia Bom Caminho do Castrinho, Alto do Cruzeiro, Serra do Cipó, Santana do Riacho, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Southeast Region, Brazil",,,,,,,,,,,,,,,,,,,,,geopy,
