id_hotel,nombre,url_principal,ciudad,pais,latitud,longitud,url_2,url_3,url_4,url_5,url_6,url_7,url_8,url_9,url_10
5644573282,Hotel Danúbio,,,Brasil,-24.5582411,-54.0552523,,,,,,,,,
5646069445,Bavária Suíte,,,Brasil,-24.5628291,-54.0602591,,,,,,,,,
5649288823,Our hotel,,,Brasil,-25.5794633,-54.5338614,,,,,,,,,
5651490022,Golden Tulip Brasilia Alvorada,,,Brasil,-15.7889325,-47.82915,,,,,,,,,
5654011130,Pousada Alambari,,,Brasil,-23.5520663,-47.9006517,,,,,,,,,
5664983918,Pousada Vital,,,Brasil,-2.7976464,-40.5082192,,,,,,,,,
5664990987,Hotel Dunas,,,Brasil,-2.8869372,-40.846337,,,,,,,,,
5667972405,Pousada Lá no Tererê,,Itambé do Mato Dentro,Brasil,-19.4000409,-43.3939933,,,,,,,,,
5668039985,Pousada Serra da Campina,,,Brasil,-16.8613041,-43.0109,,,,,,,,,
5673387918,Hotel Foz Ponte,,,Brasil,-25.5130206,-54.5906504,,,,,,,,,
5675472800,Pousada Serra do Lobo,,,Brasil,-19.4017189,-43.3932456,,,,,,,,,
5675521050,Pousada Portal do Itambé,,Itambé do Mato Dentro,Brasil,-19.4243431,-43.3201959,,,,,,,,,
5685866328,,,,Brasil,-12.7343442,-60.1303195,,,,,,,,,
5697911011,Hotel e Restaurante Central,,,Brasil,-21.1945116,-42.6125112,,,,,,,,,
5700717675,Pousada DonAna,,Teresópolis,Brasil,-22.4259256,-42.960337,,,,,,,,,
5703011103,Pousada das Palmeiras,,Itamarati de Minas,Brasil,-21.4211102,-42.8030662,,,,,,,,,
5705688690,Pousada Solar da Lagoa,,,Brasil,-12.1056404,-37.6930079,,,,,,,,,
5705722446,Inn Space Coast,,,Brasil,-12.1044805,-37.6940525,,,,,,,,,
5705722447,Pousada Recanto Lagoa Azul,,,Brasil,-12.1042784,-37.6924645,,,,,,,,,
5705733151,Pousada Baixio Inn,,,Brasil,-12.1021901,-37.6920008,,,,,,,,,
5705813613,Pousada Estrela Dourada,,,Brasil,-11.9525381,-37.6147994,,,,,,,,,
5705907425,Hotel Praia do Conde,,,Brasil,-11.8563285,-37.5686474,,,,,,,,,
5705907426,Pousada Praia Dos Coqueiros,,,Brasil,-11.8568593,-37.5682907,,,,,,,,,
5705907432,otel Costa do Sol,,,Brasil,-11.845524,-37.5632731,,,,,,,,,
5705967227,Pousada Romeu e Julieta,,,Brasil,-12.3981296,-37.8886065,,,,,,,,,
5705967228,Pousada Vila Arco-Iris,,,Brasil,-12.3989139,-37.8891234,,,,,,,,,
5705967229,Foz do Sauípe Eco-Hotel,,,Brasil,-12.3979974,-37.8868435,,,,,,,,,
5705967230,Pousada Fenix Sauipe,,,Brasil,-12.3960561,-37.8868435,,,,,,,,,
5712231821,Ibis Hotel,,,Brasil,-29.1747793,-51.2153324,,,,,,,,,
5712564553,Hotel Las Carreras,,,Brasil,-28.8445139,-51.8607152,,,,,,,,,
5712564604,,,,Brasil,-28.8482964,-51.8916893,,,,,,,,,
5714200825,Caçulão,,,Brasil,-32.0136454,-52.0435208,,,,,,,,,
5724045886,Hotel União,,,Brasil,-30.0209457,-52.9097179,,,,,,,,,
5725675199,Hotel Iporã Itapetininga,,Itapetininga,Brasil,-23.585288,-48.0344908,,,,,,,,,
5726044033,Red Davi,,,Brasil,-2.8619482,-67.7717603,,,,,,,,,
5726088024,São Paulo,,,Brasil,-3.4631466,-68.9549957,,,,,,,,,
5726974422,Julio hotel Rivera,,,Brasil,-30.8932525,-55.5385031,,,,,,,,,
5728460957,,,,Brasil,-12.9946868,-38.4417703,,,,,,,,,
5729370312,Hotel Nikko,,,Brasil,-25.4349216,-49.2671474,,,,,,,,,
5737400364,Studio,,São Paulo,Brasil,-23.5184756,-46.5233985,,,,,,,,,
5738671132,Hotel Alah Mar,,,Brasil,-12.9948437,-38.4414325,,,,,,,,,
5739458852,Hotel Itamarana,,,Brasil,-28.9891515,-51.4087506,,,,,,,,,
5740121732,,,,Brasil,-8.028353,-34.8776581,,,,,,,,,
5741668515,Alvi Hotel,,,Brasil,-28.6602672,-51.7478877,,,,,,,,,
5742306968,Hotel e Churrascaria Serrano,,,Brasil,-7.0824342,-41.4830518,,,,,,,,,
5742405688,Trattoria Di Trento,,,Brasil,-29.0353425,-51.180743,,,,,,,,,
5742508638,,,,Brasil,-8.0748943,-34.9056164,,,,,,,,,
5742508686,,,,Brasil,-8.0569787,-34.8966949,,,,,,,,,
5742508697,,,Recife,Brasil,-8.0571055,-34.8966573,,,,,,,,,
5742510208,,,,Brasil,-8.0708727,-34.8785748,,,,,,,,,
5745500748,Poussada Paris,,,Brasil,-8.0580743,-34.8859245,,,,,,,,,
5745556608,,,,Brasil,-8.0271976,-34.9036528,,,,,,,,,
5745840197,Pousada e Restaurante Terraço do Sabor,,Itainópolis,Brasil,-7.4483326,-41.4799919,,,,,,,,,
5745976058,,,,Brasil,-8.1363296,-34.9020777,,,,,,,,,
5745976169,,,,Brasil,-8.1376392,-34.9025173,,,,,,,,,
5746035819,Pousada Horizonte,,,Brasil,-7.0806867,-41.4836588,,,,,,,,,
5746037621,Center Hotel,,,Brasil,-7.0841092,-41.4693767,,,,,,,,,
5746158088,,,,Brasil,-8.088227,-34.8891976,,,,,,,,,
5746158622,,,,Brasil,-8.0937496,-34.8851992,,,,,,,,,
5746158786,Uzi Mar,,,Brasil,-8.0995795,-34.8858216,,,,,,,,,
5746159077,,,,Brasil,-8.1133636,-34.8923311,,,,,,,,,
5746159221,,,,Brasil,-8.1154398,-34.8933334,,,,,,,,,
5746159254,,,,Brasil,-8.1221141,-34.896534,,,,,,,,,
5746159295,Hotel LG Inn,,,Brasil,-8.1160581,-34.8953955,,,,,,,,,
5746159327,,,,Brasil,-8.1166305,-34.8954639,,,,,,,,,
5746159342,,,,Brasil,-8.1164402,-34.8968395,,,,,,,,,
5746159349,,,,Brasil,-8.1164939,-34.8967408,,,,,,,,,
5746159370,,,,Brasil,-8.1170722,-34.8968777,,,,,,,,,
5746159679,,,,Brasil,-8.1246084,-34.8996525,,,,,,,,,
5746160432,,,,Brasil,-8.097284,-34.8848301,,,,,,,,,
5746160433,Betel,,,Brasil,-8.0974283,-34.8848594,,,,,,,,,
5746160452,Alberto Ferreira da costa,,Recife,Brasil,-8.0991822,-34.8844894,,,,,,,,,
5746160477,Hotel Manibu,,Recife,Brasil,-8.0987279,-34.8855802,,,,,,,,,
5746161442,,,,Brasil,-8.1274908,-34.9021188,,,,,,,,,
5746161964,,,,Brasil,-8.0960434,-34.8857225,,,,,,,,,
5746162262,,,,Brasil,-8.1228018,-34.9017752,,,,,,,,,
5746162264,,,,Brasil,-8.1228301,-34.9080711,,,,,,,,,
5746162468,,,,Brasil,-8.1271186,-34.8979044,,,,,,,,,
5746162477,,,,Brasil,-8.1284109,-34.901313,,,,,,,,,
5746162499,,,,Brasil,-8.1279358,-34.8987081,,,,,,,,,
5746162595,,,,Brasil,-8.1315172,-34.9004766,,,,,,,,,
5746162659,,,,Brasil,-8.1326762,-34.9073963,,,,,,,,,
5746162863,,,,Brasil,-8.0858742,-34.8891944,,,,,,,,,
5746162869,,,,Brasil,-8.0860131,-34.8893837,,,,,,,,,
5746162878,,,,Brasil,-8.0853081,-34.8893867,,,,,,,,,
5746162889,,,,Brasil,-8.0868335,-34.8903515,,,,,,,,,
5751846946,Hotel Jacuí,,,Brasil,-30.0420051,-52.8959638,,,,,,,,,
5753989590,Martello Hotel,,,Brasil,-27.8038022,-50.3656045,,,,,,,,,
5754402279,Fazenda Guyra,,,Brasil,-25.2457246,-48.5602648,,,,,,,,,
5756940877,,,,Brasil,-0.1560396,-50.3926767,,,,,,,,,
5759577421,aldeia hotel,,,Brasil,-8.9759136,-48.1675497,,,,,,,,,
5760949233,,,Recife,Brasil,-8.1085113,-34.907253,,,,,,,,,
5760949248,,,Recife,Brasil,-8.1064846,-34.9101295,,,,,,,,,
5760949541,,,Recife,Brasil,-8.1079132,-34.9079458,,,,,,,,,
5760949547,,,Recife,Brasil,-8.1079428,-34.9081064,,,,,,,,,
5760950197,,,Recife,Brasil,-8.1102494,-34.9058414,,,,,,,,,
5760950298,,,Recife,Brasil,-8.1109827,-34.9054439,,,,,,,,,
5760950299,,,Recife,Brasil,-8.1110275,-34.9059766,,,,,,,,,
5760950346,,,Recife,Brasil,-8.111293,-34.9054242,,,,,,,,,
5760950376,,,Recife,Brasil,-8.1115756,-34.9055259,,,,,,,,,
5760950380,,,Recife,Brasil,-8.1116767,-34.9077144,,,,,,,,,
5760950478,,,Recife,Brasil,-8.1124408,-34.9043967,,,,,,,,,
5760950482,,,Recife,Brasil,-8.1126141,-34.9053283,,,,,,,,,
