id_hotel,nombre,url_principal,ciudad,pais,latitud,longitud
473604429,Hotel Bauen,,Ciudad Autónoma de Buenos Aires,Argentina,-34.6051237,-58.3924631
483184914,Azul Apart,http://www.azulaparthotel.com.ar,,Argentina,-27.4779988,-55.1014262
528651622,Orquídeas Palace,https://www.orquideashotel.com/,Puerto Iguazú,Argentina,-25.624544,-54.5505664
528671453,Viejo Americano,,,Argentina,-25.62413,-54.54911
534090886,Carmen,https://www.hotelcarmen.net/,Puerto Iguazú,Argentina,-25.6220667,-54.5528128
534134229,Exe Hotel Cataratas,https://www.eurostarshotels.com/exe-hotel-cataratas.html,Puerto Iguazú,Argentina,-25.6164411,-54.5584079
552603710,Hosteria,,,Argentina,-27.8647362,-65.72696
564448352,Residencial Miguelito,,Jardín América,Argentina,-27.0460385,-55.241362
564448380,América,,Jardín América,Argentina,-27.037605,-55.2276494
564448385,Residencial Brasilia,http://www.hotel-brasilia.com.ar,Jardín América,Argentina,-27.0384095,-55.2272673
569203751,Hotel Inti Huasi,www.intihuasihotel.com.ar,,Argentina,-28.4687234,-65.7828458
569210120,Salvador Apart Hotel,https://www.salvadoraparthotel.com/,San Fernando del Valle de Catamarca,Argentina,-28.4593738,-65.7810995
569241940,Residencial Tucumán,,,Argentina,-28.473802,-65.7754535
569247549,Residencial Delgado,,,Argentina,-28.469201,-65.7757263
569336099,Hotel Sol,,,Argentina,-28.4752475,-65.7766226
570729350,Hotel Issis,,,Argentina,-33.790097,-61.2084574
570751785,Hosteria La Perseverancia,,,Argentina,-33.1363268,-66.5248954
570758409,Hosteria La Calera,,,Argentina,-32.8774505,-66.8411265
570862725,Hotel Condado,http://www.condadohotelcasino.com.ar/santo-tome,Santo Tomé,Argentina,-28.5475538,-56.0365194
570865844,Hotel Alvear,,Santo Tomé,Argentina,-28.5460071,-56.04958
571698164,Hosteria El Rodeo,,,Argentina,-28.2238485,-65.8760904
571707993,Hosteria La Merced,,La Merced,Argentina,-28.1573268,-65.6568062
571715109,Cabañas del Dique,,,Argentina,-28.0689839,-65.5728178
573387906,Hotel León,,Ciudad Autónoma de Buenos Aires,Argentina,-34.5955878,-58.4123373
582860891,Hotel Termas los Cardones,,,Argentina,-27.4968832,-64.8601611
582908874,Hosteria ACA,,,Argentina,-26.8505526,-65.7097966
582910708,Hotel Tafi,https://hoteltafi.com/,Tafí del Valle,Argentina,-26.8542539,-65.7107016
582918731,Los Sauces,,Cafayate,Argentina,-26.0728181,-65.977994
582919103,,,,Argentina,-26.0655658,-65.9735417
593699118,Hotel Napoleon,http://www.napoleononline.com.ar,,Argentina,-30.9824092,-64.0929361
593765045,Bungalow Cabañas,,,Argentina,-27.5094295,-64.9252205
595163501,Hotel Ruta40,,Cafayate,Argentina,-26.0726758,-65.9733551
595164644,Hostal Cafayate,,Cafayate,Argentina,-26.0712261,-65.972956
595166769,Cabañas Yamasu Huasi,,,Argentina,-26.0718942,-65.9790167
595166773,Posada El Hospedaje,,,Argentina,-26.0723867,-65.9736877
595231007,Hosteria ACA,,,Argentina,-25.1230909,-66.1655039
595231685,Hosteria Llakta,,,Argentina,-25.1191719,-66.1619515
595232405,Hostería Nevado de Cachi,,,Argentina,-25.1196214,-66.161022
595488899,Hotel de Turismo,,La Quiaca,Argentina,-22.104236,-65.5977989
595757095,Portal del Santo,,,Argentina,-26.0761051,-65.9741652
595757096,Comfort,,Cafayate,Argentina,-26.0753663,-65.9754544
595757249,Asembal,,,Argentina,-26.0711671,-65.9747313
596376964,Pircas Negras,,Villa Unión,Argentina,-29.3337864,-68.2261827
598041700,Hospedaje Doña Gringa,,,Argentina,-29.3133112,-68.2289747
598384090,Apart Hotel CyC,,,Argentina,-30.6294557,-67.4744883
611190937,Hosteria Alta Vista,,,Argentina,-50.4669497,-72.6092271
611479999,Hotel Fenicia,,,Argentina,-33.895142,-60.5653777
616950399,Hotel Empleados Central Nuclear Embalse,,,Argentina,-32.207226,-64.4094889
617187756,Hotel y Spa Howard Johnson,,Villa General Belgrano,Argentina,-31.9931082,-64.5580254
619056232,Playa Palace,,,Argentina,-36.6121979,-56.6860908
619056233,Terrazas al Mar,,,Argentina,-36.6056993,-56.686615
623599720,Los Molles,,,Argentina,-35.1659918,-69.9391642
623599729,,,,Argentina,-35.1654884,-69.9376171
