id_hotel,nombre,url_principal,ciudad,pais,latitud,longitud
2071852657,La Florinda,www.florindahotel.com,,Uruguay,-34.9619331,-54.9421768
2101700997,Paradise Hotel,,,Uruguay,-34.8722162,-55.0871983
2249190921,Hotel El Mirador,,,Uruguay,-34.4667009,-57.8369274
2249190924,Radisson Hotel Colonia del Sacramento,https://www.radisson.com/colonia-del-sacramen-hotel-uy-70000/urucour,Colonia del Sacramento,Uruguay,-34.4691512,-57.8486165
2258856884,Hotel Nirvana,,Nueva Helvecia,Uruguay,-34.3065568,-57.237176
2321901541,Hotel Lamas,,Santa Lucía,Uruguay,-34.4598369,-56.3851842
2363944519,Plaza Hotel,,Maldonado,Uruguay,-34.9091014,-54.9588506
2363944520,Hotel Le Petit,,Maldonado,Uruguay,-34.9082308,-54.9577869
2363944521,Esteño,,,Uruguay,-34.9075449,-54.9578419
2363944598,Fasano,,,Uruguay,-34.8392344,-54.8836492
2365231268,Bahia Vik,https://www.bahiavik.com/,José Ignacio,Uruguay,-34.8381446,-54.6483715
2366460815,Hotel San Gregorio de Polanco,,,Uruguay,-32.6142765,-55.8340838
2367284395,Hotel Los Medanos,,,Uruguay,-34.9328537,-54.9186624
2367656501,Terrazas de la Laguna,,,Uruguay,-34.9082128,-55.0058244
2367656502,Brisas del Este,,,Uruguay,-34.9186345,-54.9715038
2367656506,Hostal de la Candelaria,,,Uruguay,-34.924878,-54.9635415
2367656507,Best Western La Foret,,,Uruguay,-34.9447017,-54.9416758
2367656512,B&B Hostel,,,Uruguay,-34.954335,-54.9375265
2367656513,Tanger Hotel,,,Uruguay,-34.9572909,-54.9413445
2367656517,Hotel Alhambra,,,Uruguay,-34.9604979,-54.9425832
2367656518,Bonne Etoile,https://hotelbonneetoile.com/,,Uruguay,-34.9619734,-54.9452479
2367656520,,,,Uruguay,-34.9623866,-54.9442732
2367656521,Punta del Este Hostel,,,Uruguay,-34.9630634,-54.9426168
2367656522,Hotel Iberia,,,Uruguay,-34.9626856,-54.9426408
2367656523,Hotel San Martin,,,Uruguay,-34.9633231,-54.9423335
2367656524,Hotel Playa Brava,,,Uruguay,-34.9626424,-54.9416613
2384920140,Hotel Catedral,,Maldonado,Uruguay,-34.9081885,-54.9592738
2384920141,Hotel Colonial,,Maldonado,Uruguay,-34.9085237,-54.9588377
2392929362,Uruguay,,,Uruguay,-34.7906366,-54.9210747
2397724458,Hotel 25 de mayo,,,Uruguay,-34.9093002,-54.9598798
2451689621,L'auberge hotel,,,Uruguay,-34.9318832,-54.90559
2477993110,Colonia Suite Art B&B Posada Boutique,,,Uruguay,-34.4710147,-57.8462757
2477993117,Hotel Ayres Colonia,,,Uruguay,-34.4714875,-57.842852
2477993122,Hotel Italiano,http://www.hotelitaliano.com.uy/,Colonia del Sacramento,Uruguay,-34.4721543,-57.8473315
2477993125,Hotel Rivera,,,Uruguay,-34.4717839,-57.8439545
2477993127,Le Vrero - Boutique Hotel,,,Uruguay,-34.4712823,-57.843254
2477993133,Posada Boutique Las Terrazas,https://www.posadalasterrazas.com/,Colonia del Sacramento,Uruguay,-34.4723426,-57.8486447
2477993139,Posada del Ángel,,Colonia del Sacramento,Uruguay,-34.472817,-57.8484328
2479078393,Costa Colonia - Riverside Boutique Hotel,,,Uruguay,-34.4545734,-57.8451496
2479078394,Days Inn Casa del Sol,,,Uruguay,-34.4453889,-57.7792549
2479078395,Nova Posada,,,Uruguay,-34.4693645,-57.8446627
2479078396,Posada Plaza Mayor,,,Uruguay,-34.4718614,-57.8525611
2479078397,Unique Luxury Colony,,,Uruguay,-34.4534115,-57.8449955
2483103671,Hotel Las Cumbres,,,Uruguay,-34.8488629,-55.0274495
2501658654,Balmoral Plaza Hotel,https://www.balmoral.com.uy/,Montevideo,Uruguay,-34.9065459,-56.1918546
2518788464,Hotel Romimar,https://www.hotelromimar.com.uy/,,Uruguay,-34.9609268,-54.941762
2518788465,Sisai Hotel Boutique,https://www.sisai.com.uy/es/inicio,,Uruguay,-34.9417037,-54.9305056
2529206470,Hotel Plaza,http://www.hotelplazaminas.com.uy,Minas,Uruguay,-34.3778383,-55.2389317
2535807256,Hotel Aquarium,,,Uruguay,-34.9667277,-54.9504353
2535807263,Hotel Puerto Las Palmas,,,Uruguay,-34.965676,-54.9519446
2538237689,Gran Hotel Fray Bentos,https://www.granh.com/fray_bentos/,Fray Bentos,Uruguay,-33.1137117,-58.3149473
2538237692,Plaza Hotel,,Fray Bentos,Uruguay,-33.1163885,-58.3122918
2538246490,La Posada del Frayle Bentos,www.posadadelfraylebentos.com.uy,Fray Bentos,Uruguay,-33.1142211,-58.309442
2570080597,Parque Oceánico,https://www.hotelparqueoceanico.com.uy/,,Uruguay,-33.9080244,-53.514212
