lodging_id,street,housenumber,city,state,postcode,full_address
node:1798802879,Boulevard Aeropuerto,171,Monterrey,,66600,
node:1798887775,,,,,,
node:1798898044,,,,,,
node:1801327703,Avenida Cristóbal Colón,7,San Cristóbal de Las Casas,Chiapas,29230,
node:1811246977,,,,,,
node:1815438108,,,,,,
node:1824764184,,,,,,
node:1825422775,,,,,,
node:1834294242,,,,,,
node:1834476360,Av. Revolucion y Malecon Col.,,Catemaco,,95870,
node:1835508689,,,,,,
node:1835993687,,,,,,
node:1835993693,,,,,,
node:1835993701,,,,,,
node:1835993743,,,,,,
node:1835993774,,,,,,
node:1835993779,,,,,,
node:1835993789,,,,,,
node:1836065320,,,,,,
node:1837188289,,,,,,
node:1854633576,,,,,,
node:1854633591,,,,,,
node:1855865239,,,,,,
node:1859392041,,,,,,
node:1864178673,,,,,,
node:1865183504,,,,,,
node:1868458720,,,,,,
node:1869213840,,,,,,
node:1870397758,,,,,,
node:1870928857,,,,,,
node:1872993029,,,,,,
node:1873781045,,,,,,
node:1873781068,Avenida Yaxchilán,41,Cancun City,,77500,
node:1873781098,,,,,,
node:1873781105,,,,,,
node:1873781112,,,,,,
node:1873781113,,,,,,
node:1873781170,,,,,,
node:1873781181,,,,,,
node:1873781198,,,,,,
node:1873781200,Avenida Uxmal,25,Cancún,,,
node:1873781528,,,,,,
node:1873830687,Calle 42,206,Valladolid,,97780,
node:1873830690,,,,,,
node:1873830703,,,,,,
node:1873830705,,,,,,
node:1873830710,,,,,,
node:1873830725,,,,,,
node:1873830739,,,,,,
node:1873895266,,,,,,
node:1873895278,,,,,,
node:1873895279,,,,,,
node:1873895280,,,,,,
node:1873895295,,,,,,
node:1873895296,,,,,,
node:1873895301,,,,,,
node:1873895322,,,,,,
node:1873895330,,,,,,
node:1873895336,,,,,,
node:1873895337,,,,,,
node:1874145114,,,,,,
node:1882486546,,,,,,
node:1883438355,,,,,,
node:1890671895,,,,,,
node:1891708819,,,,,,
node:1901368190,,,,,,
node:1901369198,,,,,,
node:1906504776,,,,,,
node:1908199897,,,,,,
node:1922132288,,,,,,
node:1926201953,,,,,,
node:1926202877,,,,,,
node:1926227394,,,,,,
node:1927548939,,,,,,
node:1927576680,,,,,,
node:1927721686,,,,,,
node:1929611307,,,,,,
node:1929611308,,,,,,
node:1929856756,,,,,,
node:1929856884,,,,,,
node:1929856888,,,,,,
node:1929859519,,,,,,
node:1929859521,,,,,,
node:1929863771,,,,,,
node:1930121942,,,,,,
node:1930730618,,,,,,
node:1931745796,,,,,,
node:1940153863,,,,,,
node:1941503427,,,,,,
node:1942092142,,,,,,
node:1942094451,,,,,,
node:1942136490,,,,,,
node:1942140111,,,,,,
node:1942140817,,,,,,
node:1942141493,,,,,,
node:1942141616,,,,,,
node:1942415141,,,,,,
node:1944427258,,,,,,
node:1958915111,,,,,,
node:1959645068,,,,,,
node:1961654444,,,,,,
node:1962238863,,,,,,
node:1975427303,,,,,,
node:1976233072,,,,,,
node:1980955116,,,,,,
node:1981716300,Av. Francisco I. Madero,,San Juan Bautista Tuxtepec,,68310,
node:1982073181,,,,,,
node:1983373437,,,,,,
node:1984494985,,,,,,
node:1987808382,Juan Carrasco Norte,606,Culiacán,SIN,80000,
node:1994604688,,,,,,
node:1996624900,,,,,,
node:1998014738,Positos,39,Guanajuato,,36000,
node:2000102192,,,,,,
node:2005617250,,,,,,
node:2010917765,,,,,,
node:2015271998,Boulevard Felipe Pescador,1401,Durango,,34080,
node:2015272013,Constitución,216,Durango,,34000,
node:2015272024,Constitución,102,Durango,,,
node:2015272036,20 de Noviembre,906,Durango,,34000,
node:2015272044,Bruno Martínez,165,Durango,,34000,
node:2019199448,Avendia Central Sur,94,Tapachula,,,
node:2019199570,,,,,,
node:2019199579,,,,,,
node:2021084302,,,,,,
node:2021084949,,,,,,
node:2028202458,,,,,,
node:2028240736,Calle Puebla,407,,,71980,
node:2028240749,,,,,,
node:2028240755,Calle Unión,10,Puerto Escondido,,71983,
node:2028240760,,,,,,
node:2028240768,,,,,,
node:2028662913,Jesus Kumate,4700,Culiacan,SIN,80104,
node:2028662914,,,,,,
node:2028662916,,,,,,
node:2028662917,,,,,,
node:2030805436,Pérez Gazga,905,Puerto Escondido,,71980,
node:2035752079,,,,,,
node:2039184467,,,,,,
node:2044812556,,,,,,
node:2049847042,,,,,,
node:2052402454,,,,,,
node:2063767507,,,,,,
node:2067125952,,,,,,
node:2071861456,,,,,,
node:2071861457,,,,,,
node:2071861458,,,,,,
node:2071861459,,,,,,
node:2071861460,,,,,,
node:2071861462,,,,,,
node:2071861464,,,,,,
node:2071861465,,,,,,
node:2071861466,,,,,,
node:2071861468,,,,,,
node:2071861471,,,,,,
node:2071861473,,,,,,
node:2071861476,,,Mexicali,,,
node:2076015659,,,,,,
node:2080762640,,,,,,
node:2080762658,,,,,,
node:2080762673,,,,,,
node:2082372092,,,,,,
node:2082372104,,,,,,
node:2082372107,,,,,,
node:2082583599,,,,,,
node:2082706004,,,,,,
node:2082706010,,,,,,
node:2082807364,,,,,,
node:2082820615,,,"zipolite, oaxaca",,,
node:2083983846,,,,,,
node:2088120758,,,,,,
node:2089306185,,,,,,
node:2089307986,,,,,,
node:2089441434,,,,,,
node:2095149684,,,,,,
node:2099167593,,,,,,
node:2104357456,Av. Ruiz Cortines,912,Xalapa,,91010,
node:2111435918,,,,,,
node:2111436234,,,,,,
node:2117324957,,,,,,
node:2118546471,Calle 31,s/n,Mérida,,97303,
node:2118601910,Carretera Tekal de Venegas,KM 5,Izamal,,97541,
node:2118621629,Tablaje Catastral,4924,Dzina,,97430,
node:2118654225,Carretera Merida-Valladolid,KM 26,Tixkokob,,97470,
node:2118691656,Calle 22,,Kanasín,,97370,
node:2118699656,Calle 19,172,Mérida,,97173,
node:2125585984,,,,,,
node:2127112987,,,,,,
node:2127121619,,,,,,
node:2128363132,,,,,,
node:2129523441,,,,,,
node:2133017161,,,,,,
node:2136656439,,,,,,
node:2141726790,,,,,,
node:2143368967,,,,,,
node:2146030913,,,,,,
node:2146030916,,,,,,
node:2146030917,,,,,,
node:2146031125,Carretera Toluca - México,63.5 km,Toluca,,50160,
node:2146031230,,,,,,
node:2146032874,,,,,,
node:2146033256,Calle Mariano Matamoros,101,Toluca de Lerdo,,50000,
node:2151204881,,,,,,
node:2172092102,Boulevard Bernardo Quintana,634,,,,
node:2179002783,Avenida Camarón Sabalo,,Mazatlán,,,
node:2179016990,Avenida Camarón Sabalo,6294,Mazatlán,,82110,
node:2180733982,Avenida Camarón Sabalo,710,Mazatlán,,82110,
node:2180733984,Calzada Camarón Sábalo,6291,Mazatlán,,82110,
node:2189070380,Avenida Playa Gaviotas,212,Mazatlán,,82110,
node:2189070386,Avenida Playa Gaviotas,100,Mazatlán,,82110,
node:2191971621,,,,,,
node:2192835660,Calle 49,516,Mérida,YUC,97000,
node:2192837748,,,,,,
node:2192859246,Calle 74A,499,Merida,,97000,
node:2192871978,,,,,,
node:2192880769,,,,,,
node:2192886765,,,,,,
node:2192901324,Calle 55,533,Mérida,YUC,97000,
node:2192907913,Calle 66,410A,Mérida,,97000,
node:2192915201,,,,,,
node:2192920392,,,,,,
node:2197669974,,,,,,
node:2197686482,"KM 20 Carretera, Uayamon-China-Edzna",,Uayamon,CAM,24530,
node:2197730249,Calle 59,71,Campeche,,24000,
node:2197777296,34 Calle 65 Zona Centro,,San Campeche,,24000,
node:2197787474,Avenida Resurgimiento,,Campeche,,24040,
node:2197801120,,,,,,
