id,node_type,internet_access,air_conditioning,hot_water,swimming_pool,laundry,kitchen,breakfast,toilets,wheelchair,check_in,check_out,rooms,beds
920559347,node,,,,,,,,,,,,7,
920559363,node,,,,,,,,,,,,45,
920559379,node,,,,,,,,,,,,22,
920559395,node,,,,,,,,,,,,42,
920559422,node,,,,,,,,,,,,18,
920559468,node,,,,,,,,,,,,9,
920559483,node,,,,,,,,,,,,49,
920559496,node,,,,,,,,,,,,24,
920559564,node,,,,,,,,,,,,34,
920559579,node,,,,,,,,,limited,,,,
920559593,node,,,,,,,,,,,,31,
920559660,node,,,,,,,,,,,,13,
920559673,node,,,,,,,,,,,,,
920559702,node,,,,,,,,,,,,14,
920559716,node,,,,,,,,,,,,63,
920559725,node,,,,,,,,,,,,,
920559804,node,,,,,,,,,,,,42,
920559858,node,,,,,,,,,,,,18,
920559915,node,,,,,,,,,,,,23,
920559933,node,,,,,,,,,,,,,
920559972,node,,,,,,,,,,,,,
920625044,node,,,,,,,,,,,,,
931731914,node,wlan,,,,,,,,,,,,
938895068,node,,,,,,,,,,,,,
938895196,node,,,,,,,,,yes,,,,
938895694,node,,,,,,,,,,,,,
938895780,node,,,,,,,,,limited,,,,
938895875,node,,,,,,,,,,,,,
938895954,node,wlan,yes,,,,,,,yes,,,,
938896041,node,,,,,,,,,yes,,,,
938896582,node,,,,,,,,,,,,,
938896669,node,,,,,,,,,,,,,
947410240,node,,,,,,,,,,,,,
949278124,node,,,,,,,,,,,,,
958717762,node,,,,,,,,,,,,,
976101920,node,,,,,,,,,,,,,
981835559,node,,,,,,,,,,,,,
983952676,node,,,,,,,,,,,,,
983966486,node,,,,,,,,,,,,,
984857915,node,,,,,,,,,,,,,
984908973,node,,,,,,,,,,,,,
986738889,node,,,,,,,,,,,,,
986738899,node,,,,,,,,,,,,,
986790081,node,,,,,,,,,,,,,
987586398,node,,,,,,,,,,,,,
992979181,node,,,,,,,,,,,,,
992979223,node,,,,,,,,,,,,,
992979234,node,,,,,,,,,,,,,
995703338,node,yes,,,,,,,,,,,55,
995703358,node,,,,,,,,,,,,,
997181032,node,,,,,,,,,yes,,,,
